КодТовара;Ноименование;Фабрика;Характеристика;Ед.изм.;Склад;Остаток
100400_69989_69428; Evolution DORADA BEIGE 30,5x60,5; !!! ПОСЛЕДНЯЯ ЦЕНА; N45/K4/30,5х60,5; м2; А.Люберцы; 0.82
100400_69989_67231; Evolution STATUARIO Sigaro 2,5x30; !!! ПОСЛЕДНЯЯ ЦЕНА; A5/2,5х30; шт.; А.Люберцы; 91
100400_69989_67312; Evolution STATUARIO TENDINA MSP 10x60; !!! ПОСЛЕДНЯЯ ЦЕНА; C5/10x60; шт.; А.Люберцы; 4
100400_69989_68665; Evolution STATUARIO TENDINA MSP 10x60; !!! ПОСЛЕДНЯЯ ЦЕНА; D5/10x60; шт.; А.Люберцы; 38
100400_69989_68721; Evolution TRAVERTINO Sigaro 2,5x30; !!! ПОСЛЕДНЯЯ ЦЕНА; A5/2,5х30; шт.; А.Люберцы; 5
100400_69989_69104; Metallika BRONZE Ret. мозаика 3х3 на сетке 30x30; !!! ПОСЛЕДНЯЯ ЦЕНА; мозаика/30x30; шт.; А.Люберцы; 26
100400_69989_20586; Opera BOGEME GIALLO Form 15; !!! ПОСЛЕДНЯЯ ЦЕНА; STS/15x15; шт.; А.Люберцы; 30.95
100400_69989_68327; Opera BOGEME GIALLO Sab 15; !!! ПОСЛЕДНЯЯ ЦЕНА; N50/K0/15x15; шт.; А.Люберцы; 6
100400_69989_66991; Opera MANON COTTO GR+T 30,5х30,5; !!! ПОСЛЕДНЯЯ ЦЕНА; H43/K3/30,5х30,5; шт.; А.Люберцы; 18
100400_69989_67933; Opera MANON COTTO GR+T 30,5х30,5; !!! ПОСЛЕДНЯЯ ЦЕНА; L45/K2/30,5х30,5; шт.; А.Люберцы; 43
100400_69989_68426; Opera MANON COTTO Sab 15; !!! ПОСЛЕДНЯЯ ЦЕНА; L55/K0/15х15; шт.; А.Люберцы; 6
100400_69989_67203; Opera NABUCCO ALMOND ANG+T 30,5х30,5; !!! ПОСЛЕДНЯЯ ЦЕНА; M55/K3/30,5х30,5; шт.; А.Люберцы; 13
100400_69989_68664; Opera NABUCCO ALMOND Sab 15; !!! ПОСЛЕДНЯЯ ЦЕНА; L50/K1/15x15; шт.; А.Люберцы; 84
100400_69989_69448; Piazza Treccia Marmo Burattata Mini 2x34  J71018; !!! ПОСЛЕДНЯЯ ЦЕНА; декор75/2x34; шт.; А.Люберцы; 62
100400_69989_66441; Selciato GRIGIO 34x34; !!! ПОСЛЕДНЯЯ ЦЕНА; B50/K3/34x34; м2; А.Люберцы; 1.05
100400_69989_67719; Selciato GRIGIO 34x34; !!! ПОСЛЕДНЯЯ ЦЕНА; B50/K3/34x34; м2; А.Люберцы; 1.14
100400_69989_68499; Silk Road CREAM Ret. 15x60; !!! ПОСЛЕДНЯЯ ЦЕНА; Q65/K1/15x60; м2; А.Люберцы; 3.15
100400_69989_68863; Skema MARRONE Intreccio 45.5x45.5; !!! ПОСЛЕДНЯЯ ЦЕНА; B50/K1/45.5x45.5; м2; А.Люберцы; 4.15
100400_100998_38; Ashanti Lace Blaclk/White 10x50; !!! ПОСЛЕДНЯЯ ЦЕНА; 2000/10x50; шт.; А.Люберцы; 10
100400_100998_341; Jazz  list. Acqua 4x20; !!! ПОСЛЕДНЯЯ ЦЕНА; 200/KC/4*20; шт.; А.Люберцы; 5
100400_100998_342; Jazz COLTRANE List.  2.5x20; !!! ПОСЛЕДНЯЯ ЦЕНА; 2100/2.5*20; шт.; А.Люберцы; 5
100400_8805_4389; Cottage ST.MORITZ BLU 10x50; !!! ПОСЛЕДНЯЯ ЦЕНА; A4/K6/10x50; м2; А.Люберцы; 1.57
100400_8805_4392; Cottage ST.MORITZ BLU 15x60,8; !!! ПОСЛЕДНЯЯ ЦЕНА; A5/K5/15x60,8; м2; А.Люберцы; 2.11
100400_8805_6025; Cottage ST.MORITZ BLU 15x60,8; !!! ПОСЛЕДНЯЯ ЦЕНА; B5/K6/15x60,8; м2; А.Люберцы; 0.54
100400_8805_6618; Flair AZZURRO 14x56; !!! ПОСЛЕДНЯЯ ЦЕНА; A5/K4/14x56; м2; А.Люберцы; 1.11
100400_8805_4521; Quintana BORGO Angolare 33x33; !!! ПОСЛЕДНЯЯ ЦЕНА; 10/33x33; шт.; А.Люберцы; 2
100400_8805_3899; Quintana BORGO Gradone 25x33; !!! ПОСЛЕДНЯЯ ЦЕНА; 5/25x33; шт.; А.Люберцы; 5
100400_8805_4520; Quintana BORGO Gradone 25x33; !!! ПОСЛЕДНЯЯ ЦЕНА; 10/25x33; шт.; А.Люберцы; 29
100400_8805_6122; Quintana SPADA 31,7x31,7; !!! ПОСЛЕДНЯЯ ЦЕНА; C7/K5/31,7x31,7; м2; А.Люберцы; 0.9
100400_8805_7528; Quintana SPADA batiscopa 8х42.5; !!! ПОСЛЕДНЯЯ ЦЕНА; 140/8*42.5; шт.; А.Люберцы; 20
100400_8805_5203; Quintana SPADA Gradone 25x33; !!! ПОСЛЕДНЯЯ ЦЕНА; 10/25x33; шт.; А.Люберцы; 3
100400_8805_6635; Quintana Treccia Contrada 5x31,7; !!! ПОСЛЕДНЯЯ ЦЕНА; декор/5x31,7; шт.; А.Люберцы; 72
100400_8805_5993; Trilogia  NUVOLA Listello  7,5x47,5; !!! ПОСЛЕДНЯЯ ЦЕНА; декор/7,5х47,5; шт.; А.Люберцы; 30
100400_8805_5557; Trilogia  Treccia Luna BEIGE 6x48; !!! ПОСЛЕДНЯЯ ЦЕНА; декор/6х48; шт.; А.Люберцы; 92
100400_94233_92615; 760105  MOKA 24x72; !!! ПОСЛЕДНЯЯ ЦЕНА; L50/24x72; м2; А.Люберцы; 0.9
100400_94233_92659; WoodLand  OAK 21.5x49; !!! ПОСЛЕДНЯЯ ЦЕНА; X49/K2/21.5x49; м2; А.Люберцы; 1.07
100400_94233_93468; Zen-Sation 500100 BLACK 60x60 Rett.; !!! ПОСЛЕДНЯЯ ЦЕНА; A55/60x60; м2; А.Люберцы; 2.88
100400_1195_751; Imperial BG/RO Angolo 8x8; !!! ПОСЛЕДНЯЯ ЦЕНА; декор/8x8; шт.; А.Люберцы; 7
100400_1195_686; Imperial BG/RO Fascia 8x45; !!! ПОСЛЕДНЯЯ ЦЕНА; декор/8x45; шт.; А.Люберцы; 2
100400_1195_687; Imperial GRIGIO Angolo 8x8; !!! ПОСЛЕДНЯЯ ЦЕНА; декор/8x8; шт.; А.Люберцы; 50
100400_1195_688; Imperial GRIGIO Fascia 8x45; !!! ПОСЛЕДНЯЯ ЦЕНА; декор/8x45; шт.; А.Люберцы; 68
100400_1195_560; Onice BEIGE/NOCE  мозаика 3х3 сетка 30x34; !!! ПОСЛЕДНЯЯ ЦЕНА; мозаика 3х3/сетка 30x34; шт.; А.Люберцы; 4
100400_1195_772; Onice BEIGE/NOCE  мозаика 3х3 сетка 30x34; !!! ПОСЛЕДНЯЯ ЦЕНА; мозаика 3х3/сетка 30x34; шт.; А.Люберцы; 21
100400_100996_264; Provenzale BLEU GENZIANA 15x15 1523; !!! ПОСЛЕДНЯЯ ЦЕНА; A51/KC/15x15; м2; А.Люберцы; 1.53
100400_100996_447; Provenzale CHAMPAGNE 15x15 1535; !!! ПОСЛЕДНЯЯ ЦЕНА; C50/КС/15x15; м2; А.Люберцы; 3.65
100400_100996_595; Provenzale CHAMPAGNE 15x15 1535; !!! ПОСЛЕДНЯЯ ЦЕНА; E51/КС/15x15; м2; А.Люберцы; 2.5
100400_100996_178; Provenzale ROSA LEGGERO 15x15 1528; !!! ПОСЛЕДНЯЯ ЦЕНА; E50/КС/15x15; м2; А.Люберцы; 1.53
99980_3_17_3; APE* Decor Set (4) Simplicity 20x60; ***ARTPLAY; 20x60; шт.; ЗАКАЗ; 4
99980_3_17_2; APE* Listelo Simplicity Mix 4.5x60; ***ARTPLAY; 4.5x60; шт.; ЗАКАЗ; 2
99980_3_17_1; APE* Moldura Botavara 4.8x90; ***ARTPLAY; 4.8x90; шт.; ЗАКАЗ; 2
99980_3_17_4; APE* Torello Giorno Azul 2x20; ***ARTPLAY; 2x20; шт.; ЗАКАЗ; 2
99980_3_17_5; APE* Torello Giorno Neutro 2x20; ***ARTPLAY; 2x20; шт.; ЗАКАЗ; 2
99980_2_78_4; Ariostea Lastre Ultra 6 mm Eramosa Luc 300x40; ***ARTPLAY; 300x40; шт.; ЗАКАЗ; 1
99980_2_78_3; Ariostea Lastre Ultra 6 mm Estremoz Luc 300x40; ***ARTPLAY; 300x40; шт.; ЗАКАЗ; 1
99980_2_78_6; Ariostea Lastre Ultra 6 mm Onice Beige Luc 300x40; ***ARTPLAY; 300x40; шт.; ЗАКАЗ; 1
99980_2_78_7; Ariostea Lastre Ultra 6 mm Onice Bianco Soft  300x40; ***ARTPLAY; 300x40; шт.; ЗАКАЗ; 1
99980_2_78_5; Ariostea Lastre Ultra 6 mm Onice Grigio Luc 300x40; ***ARTPLAY; 300x40; шт.; ЗАКАЗ; 1
99980_2_78_2; Ariostea Lastre Ultra 6 mm Zebrino Blacl Luc 300x40; ***ARTPLAY; 300x40; шт.; ЗАКАЗ; 1
99980_2_78_1; Ariostea Lastre Ultra Marmi Shin Statuario Altissimo Luc 300x50; ***ARTPLAY; 300x50; шт.; ЗАКАЗ; 1
99980_2_74_15; Ariostea* Экспозитор FRAME 100A (металлическая конструкция); ***ARTPLAY; ; шт.; А.Люберцы; 1
99980_2_74_16; Ariostea* Экспозитор FRAME 75A(металлическая конструкция); ***ARTPLAY; ; шт.; А.Люберцы; 1
99980_2_75; ARIOSTEA* Innovative slabs BIANCO PAONAZZETTO 150X75 P150382; ***ARTPLAY; 150х75; шт.; ЗАКАЗ; 1
99980_2_77; ARIOSTEA* Ultra I Cementi Graphite 60*300; ***ARTPLAY;  60*300; шт.; ЗАКАЗ; 1
99980_2_76; ARIOSTEA* Ultra I Cementi Iron 60х300; ***ARTPLAY; 60х300; шт.; ЗАКАЗ; 1
99980_4_25_8; La Fabrica* Amber Rettificati 4725 45x90; ***ARTPLAY; CS/KA/45x90; м2; А.Люберцы; 2.44
99980_4_25_10; La Fabrica* Ancyra Liscio L/R 4L70 45x90; ***ARTPLAY; 45x90; шт.; А.Люберцы; 1
99980_4_25_11; La Fabrica* Ancyra Liscio L/R VL25  30x60; ***ARTPLAY; 30x60; шт.; А.Люберцы; 1
99980_4_25_2; La Fabrica* Bianco Musa lap. ret 661L02  60x60; ***ARTPLAY; A50A/K4/60x60; м2; А.Люберцы; 2.16
99980_4_25_9; La Fabrica* Black Chic Moon VL70 Lap Ret 30x60; ***ARTPLAY; 30x60; шт.; А.Люберцы; 1
99980_4_25_7; La Fabrica* Crystal Moon 6L61 Lapp Rett 600x60; ***ARTPLAY; 60x60; шт.; А.Люберцы; 4
99980_4_25_6; La Fabrica* Crystal Moon VL61 Lapp Rett 30x60; ***ARTPLAY; 30x60; шт.; А.Люберцы; 2
99980_4_25_3; La Fabrica* Decoro Ajour Bianco Musa lap. ret L61L25  30x60; ***ARTPLAY; A504/30x60; шт.; А.Люберцы; 2
99980_4_25_1; La Fabrica* Fandango Floreale lap. ret 661L07  60x60; ***ARTPLAY; B48A/K4/60x60; м2; А.Люберцы; 3.24
99980_4_25_4; La Fabrica* Grafite Musa lap. ret 661L11  60x60; ***ARTPLAY; /60x60; шт.; А.Люберцы; 4
99980_4_25_5; La Fabrica* Mosaico starlight Rosso Grafite Musa 961L33 3x30; ***ARTPLAY; A502/3x3; шт.; А.Люберцы; 14
99980_4_25_12; La Fabrica* Palmyra Liscio L/R VL26 30x60; ***ARTPLAY; A46R/K5/30x60; м2; А.Люберцы; 2.16
